run_id,parameter,t,step_no,value
current_run,param_temp,0,1,100.045809
current_run,param_temp,1,1,99.682676
current_run,param_temp,2,1,100.088456
current_run,param_temp,3,1,99.982108
current_run,param_temp,4,1,100.608599
current_run,param_temp,5,1,99.975164
current_run,param_temp,6,1,100.187544
current_run,param_temp,7,1,99.999667
current_run,param_temp,8,1,100.091449
current_run,param_temp,9,1,100.115441
current_run,param_temp,10,1,100.282471
current_run,param_temp,11,1,100.345521
current_run,param_temp,12,1,99.420942
current_run,param_temp,13,1,100.515476
current_run,param_temp,14,1,100.065262
current_run,param_temp,15,1,100.231967
current_run,param_temp,16,1,100.145845
current_run,param_temp,17,1,99.706218
current_run,param_temp,18,1,100.221307
current_run,param_temp,19,1,99.967735
current_run,param_temp,20,1,100.148533
current_run,param_temp,21,1,100.282074
current_run,param_temp,22,1,100.208366
current_run,param_temp,23,1,99.821886
current_run,param_temp,24,1,99.945987
current_run,param_temp,25,1,99.881865
current_run,param_temp,26,1,99.670149
current_run,param_temp,27,1,100.208633
current_run,param_temp,28,1,100.116078
current_run,param_temp,29,1,100.242258
current_run,param_temp,30,1,100.013582
current_run,param_temp,31,1,100.113157
current_run,param_temp,32,1,100.084627
current_run,param_temp,33,1,100.115127
current_run,param_temp,34,1,99.915596
current_run,param_temp,35,1,100.115213
current_run,param_temp,36,1,99.999052
current_run,param_temp,37,1,99.815091
current_run,param_temp,38,1,99.661388
current_run,param_temp,39,1,99.682736
current_run,param_temp,40,1,100.202896
current_run,param_temp,41,1,99.747103
current_run,param_temp,42,1,99.757752
current_run,param_temp,43,1,100.17634
current_run,param_temp,44,1,100.075854
current_run,param_temp,45,1,100.082915
current_run,param_temp,46,1,99.536782
current_run,param_temp,47,1,99.918297
current_run,param_temp,48,1,100.125828
current_run,param_temp,49,1,99.909798
current_run,param_temp,50,1,100.120609
current_run,param_temp,51,1,99.986249
current_run,param_temp,52,1,99.7812
current_run,param_temp,53,1,100.282042
current_run,param_temp,54,1,100.308991
current_run,param_temp,55,1,100.129963
current_run,param_temp,56,1,100.196019
current_run,param_temp,57,1,100.136846
current_run,param_temp,58,1,100.008093
current_run,param_temp,59,1,100.132569
current_run,param_temp,60,1,99.667109
current_run,param_temp,61,1,100.473885
current_run,param_temp,62,1,99.805751
current_run,param_temp,63,1,100.187441
current_run,param_temp,64,1,99.843338
current_run,param_temp,65,1,99.789288
current_run,param_temp,66,1,99.991931
current_run,param_temp,67,1,100.077981
current_run,param_temp,68,1,100.401493
current_run,param_temp,69,1,99.608388
current_run,param_temp,70,1,99.676452
