run_id,parameter,image_file
current_run,param_temp,images/current_run_param_temp.png
current_run,param_pressure,images/current_run_param_pressure.png
current_run,param_flow,images/current_run_param_flow.png
current_run,param_power,images/current_run_param_power.png
current_run,param_voltage,images/current_run_param_voltage.png
current_run,param_speed,images/current_run_param_speed.png
peer_tool_1,param_temp,images/peer_tool_1_param_temp.png
peer_tool_1,param_pressure,images/peer_tool_1_param_pressure.png
peer_tool_1,param_flow,images/peer_tool_1_param_flow.png
peer_tool_1,param_power,images/peer_tool_1_param_power.png
peer_tool_1,param_voltage,images/peer_tool_1_param_voltage.png
peer_tool_1,param_speed,images/peer_tool_1_param_speed.png
peer_tool_2,param_temp,images/peer_tool_2_param_temp.png
peer_tool_2,param_pressure,images/peer_tool_2_param_pressure.png
peer_tool_2,param_flow,images/peer_tool_2_param_flow.png
peer_tool_2,param_power,images/peer_tool_2_param_power.png
peer_tool_2,param_voltage,images/peer_tool_2_param_voltage.png
peer_tool_2,param_speed,images/peer_tool_2_param_speed.png
history_run_1,param_temp,images/history_run_1_param_temp.png
history_run_1,param_pressure,images/history_run_1_param_pressure.png
history_run_1,param_flow,images/history_run_1_param_flow.png
history_run_1,param_power,images/history_run_1_param_power.png
history_run_1,param_voltage,images/history_run_1_param_voltage.png
history_run_1,param_speed,images/history_run_1_param_speed.png
history_run_2,param_temp,images/history_run_2_param_temp.png
history_run_2,param_pressure,images/history_run_2_param_pressure.png
history_run_2,param_flow,images/history_run_2_param_flow.png
history_run_2,param_power,images/history_run_2_param_power.png
history_run_2,param_voltage,images/history_run_2_param_voltage.png
history_run_2,param_speed,images/history_run_2_param_speed.png
history_run_3,param_temp,images/history_run_3_param_temp.png
history_run_3,param_pressure,images/history_run_3_param_pressure.png
history_run_3,param_flow,images/history_run_3_param_flow.png
history_run_3,param_power,images/history_run_3_param_power.png
history_run_3,param_voltage,images/history_run_3_param_voltage.png
history_run_3,param_speed,images/history_run_3_param_speed.png
